epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95748,3.06554,3.49793,2.28721,0.02667,0.27119,0.01782,0.00382,2.96585,3.40472,2.13285,4e-05,4e-05,4e-05
2,10.5836,3.07361,3.49234,2.35419,0.02667,0.27119,0.01836,0.00498,2.88212,3.39483,2.10854,9.901e-05,9.901e-05,9.901e-05
3,11.1602,3.0731,3.48388,2.18038,0.03,0.30508,0.02096,0.00637,2.90631,3.34148,2.11688,0.000156832,0.000156832,0.000156832
4,11.8464,2.87095,3.35646,1.94624,0.035,0.35593,0.02995,0.00859,3.02128,3.29767,2.12709,0.000213466,0.000213466,0.000213466
5,12.4107,2.79321,3.13057,1.78419,0.02333,0.23729,0.01832,0.00555,3.10198,3.3186,2.1232,0.000268912,0.000268912,0.000268912
6,15.689,2.70657,2.80333,1.7336,0.03667,0.37288,0.03521,0.00881,3.0455,3.28296,1.96428,0.00032317,0.00032317,0.00032317
7,16.2239,2.66913,2.73421,1.74114,0.04667,0.47458,0.07016,0.01553,2.9803,3.22549,1.88953,0.00037624,0.00037624,0.00037624
8,16.862,2.65246,2.62244,1.64969,0.045,0.45763,0.08457,0.02085,3.00632,3.20935,1.90882,0.000428122,0.000428122,0.000428122
9,17.6338,2.59952,2.41839,1.63412,0.035,0.35593,0.08617,0.01838,2.94832,3.23355,2.05964,0.000478816,0.000478816,0.000478816
10,18.1405,2.58546,2.20963,1.65103,0.035,0.35593,0.09413,0.02106,3.05063,3.14081,2.34659,0.000528322,0.000528322,0.000528322
11,19.1885,2.65359,2.17941,1.62805,0.03667,0.37288,0.11138,0.02631,3.15142,3.10143,2.3475,0.00057664,0.00057664,0.00057664
12,20.2101,2.66075,2.01582,1.6367,0.03833,0.38983,0.1233,0.02165,3.10808,3.12702,2.27848,0.00062377,0.00062377,0.00062377
13,20.6815,2.75289,1.9243,1.65408,0.03167,0.32203,0.06227,0.01711,3.05321,3.11618,2.03286,0.000669712,0.000669712,0.000669712
14,21.1469,2.69471,1.899,1.64328,0.03833,0.38983,0.05276,0.0127,2.8036,3.10591,1.8645,0.000714466,0.000714466,0.000714466
15,21.8383,2.64833,1.92371,1.65523,0.13687,0.0678,0.06618,0.02318,2.86714,3.18861,2.27223,0.000758032,0.000758032,0.000758032
16,22.5869,2.6033,1.80252,1.63069,0.14426,0.08475,0.07131,0.02301,2.87743,3.12741,2.15468,0.00080041,0.00080041,0.00080041
17,23.3235,2.58731,1.77285,1.62863,0.04,0.40678,0.0696,0.02341,2.79019,2.92582,1.81086,0.0008416,0.0008416,0.0008416
18,23.8056,2.60816,1.78538,1.6301,0.03667,0.37288,0.08813,0.02422,2.74703,2.85906,1.79432,0.000881602,0.000881602,0.000881602
19,24.2958,2.58032,1.71221,1.6511,0.04,0.40678,0.16249,0.04469,2.81527,2.75584,1.78293,0.000920416,0.000920416,0.000920416
20,24.7723,2.51397,1.63926,1.61141,0.04833,0.49153,0.15705,0.04648,2.89787,2.72693,1.81744,0.000958042,0.000958042,0.000958042
21,25.2145,2.49817,1.68334,1.57796,0.03667,0.37288,0.10075,0.03278,3.12457,2.70374,1.93668,0.00099448,0.00099448,0.00099448
22,25.7505,2.48183,1.65208,1.56971,0.2181,0.11864,0.14504,0.05064,2.96606,2.6338,1.80609,0.00102973,0.00102973,0.00102973
23,26.2019,2.46146,1.58734,1.57284,0.63545,0.15254,0.20122,0.06984,2.82515,2.59578,1.84846,0.00106379,0.00106379,0.00106379
