epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2727,2.83563,3.90031,2.0671,0.00395,0.06007,0.00476,0.00192,2.73745,3.84591,1.89104,0.00022864,0.00022864,0.00022864
2,14.519,2.52774,3.22403,1.64667,0.01854,0.247,0.06383,0.01817,2.62278,3.57906,1.71219,0.000468458,0.000468458,0.000468458
3,16.2585,2.52939,2.64252,1.63678,0.02156,0.30845,0.06585,0.01822,2.69461,3.17407,1.74803,0.000705069,0.000705069,0.000705069
4,17.9229,2.5428,2.39404,1.6556,0.10927,0.23403,0.09583,0.02604,2.68114,2.77801,1.7885,0.000938473,0.000938473,0.000938473
5,20.7113,2.44365,2.30965,1.62565,0.18041,0.20251,0.10115,0.02939,2.69408,2.54383,1.91619,0.00116867,0.00116867,0.00116867
6,22.7679,2.45725,2.17507,1.61687,0.13489,0.1456,0.11769,0.03169,2.69762,2.44514,1.88733,0.00138184,0.00138184,0.00138184
7,24.6619,2.4262,2.13323,1.60916,0.19137,0.17875,0.12932,0.03986,2.58238,2.42086,1.75721,0.00137241,0.00137241,0.00137241
8,26.6638,2.38453,2.06098,1.61084,0.28142,0.25082,0.17686,0.04604,2.6151,2.52978,1.81305,0.00136298,0.00136298,0.00136298
9,29.2944,2.41708,2.08071,1.61725,0.27664,0.25673,0.18289,0.05226,2.59204,2.26215,1.72906,0.00135355,0.00135355,0.00135355
10,30.9859,2.36551,2.01802,1.59245,0.17469,0.21211,0.13867,0.03938,2.62679,2.24216,1.71974,0.00134412,0.00134412,0.00134412
11,32.6797,2.34472,2.02167,1.60977,0.28193,0.28901,0.19058,0.05504,2.6029,2.16717,1.67313,0.00133469,0.00133469,0.00133469
12,34.565,2.34588,1.98653,1.61147,0.18762,0.24187,0.15436,0.04572,2.66411,2.26984,1.78028,0.00132525,0.00132525,0.00132525
13,36.6163,2.32721,1.96929,1.57889,0.20328,0.3031,0.18188,0.05457,2.61473,2.29006,1.72653,0.00131582,0.00131582,0.00131582
14,38.7969,2.33236,1.99778,1.59396,0.26861,0.20139,0.16093,0.05388,2.52677,2.33916,1.66337,0.00130639,0.00130639,0.00130639
15,40.7792,2.33037,1.99792,1.57808,0.19272,0.23588,0.13409,0.04201,2.62814,2.40368,1.74465,0.00129696,0.00129696,0.00129696
16,43.4355,2.27573,1.90944,1.56849,0.21752,0.21618,0.19711,0.0616,2.50479,2.05743,1.66697,0.00128753,0.00128753,0.00128753
17,45.7053,2.27435,1.92843,1.57197,0.58138,0.19946,0.20299,0.0527,2.63845,2.14894,1.79073,0.0012781,0.0012781,0.0012781
18,47.7661,2.29133,1.89543,1.56606,0.15766,0.24877,0.15946,0.0448,2.59092,2.17775,1.73878,0.00126867,0.00126867,0.00126867
19,49.6161,2.30242,1.93052,1.60353,0.38259,0.23128,0.20825,0.06824,2.63054,2.13216,1.79325,0.00125923,0.00125923,0.00125923
20,51.302,2.28735,1.95543,1.58523,0.22978,0.24866,0.17544,0.05307,2.59603,2.1875,1.7589,0.0012498,0.0012498,0.0012498
21,53.1203,2.24186,1.89715,1.55435,0.37173,0.26243,0.23086,0.0894,2.62772,2.12352,1.75662,0.00124037,0.00124037,0.00124037
22,54.9623,2.2145,1.8361,1.55839,0.31306,0.25618,0.20131,0.06634,2.58421,2.10467,1.74605,0.00123094,0.00123094,0.00123094
23,57.5172,2.23072,1.8295,1.51958,0.30788,0.26231,0.17154,0.05345,2.64091,2.17519,1.84439,0.00122151,0.00122151,0.00122151
24,59.7702,2.22282,1.80219,1.52967,0.36426,0.26301,0.22443,0.073,2.58706,2.06698,1.78245,0.00121208,0.00121208,0.00121208
25,61.5948,2.20476,1.81258,1.56664,0.2964,0.30529,0.20227,0.0575,2.63249,2.11352,1.81498,0.00120265,0.00120265,0.00120265
26,63.4529,2.24409,1.92176,1.5512,0.22847,0.24352,0.19905,0.05534,2.60865,2.13102,1.79451,0.00119322,0.00119322,0.00119322
27,65.6598,2.25083,1.80218,1.54672,0.34774,0.32992,0.24426,0.07838,2.54849,2.10196,1.68817,0.00118378,0.00118378,0.00118378
28,67.6906,2.22183,1.79579,1.53243,0.32344,0.24364,0.189,0.05995,2.53393,2.1521,1.69602,0.00117435,0.00117435,0.00117435
29,69.6701,2.18793,1.8252,1.53728,0.20909,0.26667,0.19757,0.05829,2.55041,2.08842,1.72861,0.00116492,0.00116492,0.00116492
30,71.6119,2.18592,1.74186,1.51828,0.30808,0.24356,0.1965,0.05943,2.62142,2.10275,1.77236,0.00115549,0.00115549,0.00115549
31,73.3104,2.21874,1.75594,1.51891,0.36994,0.22957,0.1806,0.0556,2.69902,2.16045,1.83251,0.00114606,0.00114606,0.00114606
32,75.2677,2.15194,1.72047,1.48503,0.4619,0.28747,0.22715,0.07358,2.69468,2.13266,1.84487,0.00113663,0.00113663,0.00113663
33,77.3488,2.18618,1.74261,1.51444,0.25712,0.26409,0.20698,0.06093,2.58621,2.11407,1.73287,0.0011272,0.0011272,0.0011272
34,79.5288,2.193,1.73465,1.50551,0.3105,0.30202,0.20321,0.05832,2.58879,2.09411,1.72764,0.00111776,0.00111776,0.00111776
35,81.2251,2.16891,1.7037,1.49946,0.28877,0.2495,0.20795,0.06018,2.66188,2.10675,1.84624,0.00110833,0.00110833,0.00110833
36,83.0876,2.17163,1.69673,1.51949,0.41882,0.24561,0.21409,0.0747,2.69513,2.20141,1.87901,0.0010989,0.0010989,0.0010989
37,85.041,2.2133,1.69425,1.52863,0.42593,0.24666,0.2266,0.07542,2.55498,2.0671,1.70734,0.00108947,0.00108947,0.00108947
38,87.6318,2.16741,1.64395,1.49169,0.32447,0.23415,0.23681,0.07989,2.55545,2.05558,1.7062,0.00108004,0.00108004,0.00108004
39,89.7547,2.15998,1.64637,1.48831,0.23698,0.26239,0.21648,0.07387,2.61705,2.06803,1.74797,0.00107061,0.00107061,0.00107061
40,91.7381,2.15884,1.63577,1.49847,0.27109,0.3191,0.24405,0.07293,2.58764,2.12242,1.73384,0.00106118,0.00106118,0.00106118
41,93.6124,2.14699,1.65896,1.49496,0.30876,0.21323,0.21377,0.07141,2.6183,2.08751,1.75549,0.00105174,0.00105174,0.00105174
42,95.5758,2.11233,1.80651,1.48069,0.30288,0.23755,0.19239,0.05851,2.56359,2.08209,1.69637,0.00104231,0.00104231,0.00104231
43,97.3707,2.11748,1.65073,1.50639,0.36321,0.2425,0.20366,0.06023,2.61349,2.03592,1.7642,0.00103288,0.00103288,0.00103288
44,99.3024,2.12029,1.66202,1.47923,0.23079,0.24502,0.17347,0.05354,2.6679,2.10901,1.81573,0.00102345,0.00102345,0.00102345
45,101.29,2.08192,1.59778,1.47003,0.29914,0.28805,0.21063,0.06295,2.61296,1.98075,1.7672,0.00101402,0.00101402,0.00101402
46,103.235,2.09586,1.58413,1.46984,0.37979,0.27028,0.24008,0.07202,2.64492,1.95913,1.76132,0.00100459,0.00100459,0.00100459
47,105.079,2.11999,1.57139,1.48972,0.3219,0.31086,0.2027,0.06092,2.63294,2.05209,1.75152,0.000995156,0.000995156,0.000995156
48,106.714,2.12782,1.59428,1.48396,0.22695,0.31112,0.22752,0.0653,2.66299,2.10597,1.75791,0.000985724,0.000985724,0.000985724
